RequestTime,StartingStation,EndingStation,ModelOld,ModelSL,ModelDelay,Value_ModelOld,Value_ModelSL,Value_ModelDelay,Value_ModelDelay_50,Value_ModelDelay_90,ModelDelay_50,ModelDelay_90
1900-01-01 16:00:14,Tekniska högskolan,Fridhemsplan,1900-01-01 16:17:41,1900-01-01 16:21:00,1900-01-01 16:17:41,True,True,True,True,True,1900-01-01 16:17:41,1900-01-01 16:17:41
1900-01-01 16:00:15,Fridhemsplan,Tekniska högskolan,1900-01-01 16:21:19,1900-01-01 16:21:19,1900-01-01 16:20:19,True,True,True,True,True,1900-01-01 16:20:19,1900-01-01 16:20:19
1900-01-01 16:00:15,Tekniska högskolan,Solna Centrum,1900-01-01 16:23:45,1900-01-01 16:23:45,1900-01-01 16:23:45,True,True,True,True,True,1900-01-01 16:23:45,1900-01-01 16:23:45
1900-01-01 16:00:16,Solna Centrum,Tekniska högskolan,1900-01-01 16:20:31,1900-01-01 16:20:31,1900-01-01 16:20:31,True,True,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:00:16,Globen,Solna Centrum,1900-01-01 16:26:02,1900-01-01 16:26:02,1900-01-01 16:26:02,True,True,True,True,True,1900-01-01 16:26:02,1900-01-01 16:30:45
1900-01-01 16:00:17,Solna Centrum,Globen,1900-01-01 16:31:45,,1900-01-01 16:31:45,True,False,True,True,True,1900-01-01 16:31:45,1900-01-01 16:31:45
1900-01-01 16:00:55,Tekniska högskolan,Fridhemsplan,1900-01-01 16:17:41,1900-01-01 16:21:00,1900-01-01 16:17:41,True,True,True,True,True,1900-01-01 16:17:41,1900-01-01 16:17:41
1900-01-01 16:00:55,Fridhemsplan,Tekniska högskolan,1900-01-01 16:21:19,1900-01-01 16:20:31,1900-01-01 16:20:19,True,True,True,True,True,1900-01-01 16:20:19,1900-01-01 16:20:19
1900-01-01 16:00:56,Tekniska högskolan,Solna Centrum,1900-01-01 16:23:45,1900-01-01 16:23:45,1900-01-01 16:23:45,True,True,True,True,True,1900-01-01 16:23:45,1900-01-01 16:23:45
1900-01-01 16:00:56,Solna Centrum,Tekniska högskolan,1900-01-01 16:20:31,1900-01-01 16:20:31,1900-01-01 16:20:31,True,True,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:00:57,Globen,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:00:57,Solna Centrum,Globen,1900-01-01 16:31:45,,1900-01-01 16:31:45,True,False,True,True,True,1900-01-01 16:31:45,1900-01-01 16:31:45
1900-01-01 16:01:37,Tekniska högskolan,Fridhemsplan,1900-01-01 16:17:41,1900-01-01 16:22:42,1900-01-01 16:17:41,True,True,True,True,True,1900-01-01 16:17:41,1900-01-01 16:17:41
1900-01-01 16:01:37,Fridhemsplan,Tekniska högskolan,1900-01-01 16:21:19,1900-01-01 16:21:19,1900-01-01 16:20:19,True,True,True,True,True,1900-01-01 16:20:19,1900-01-01 16:20:19
1900-01-01 16:01:38,Tekniska högskolan,Solna Centrum,1900-01-01 16:23:45,1900-01-01 16:23:45,1900-01-01 16:23:45,True,True,True,True,True,1900-01-01 16:23:45,1900-01-01 16:23:45
1900-01-01 16:01:38,Solna Centrum,Tekniska högskolan,1900-01-01 16:20:31,1900-01-01 16:20:31,1900-01-01 16:20:31,True,True,True,True,True,1900-01-01 16:20:31,1900-01-01 16:20:31
1900-01-01 16:01:39,Globen,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:01:39,Solna Centrum,Globen,1900-01-01 16:31:45,,1900-01-01 16:31:45,True,False,True,True,True,1900-01-01 16:31:45,1900-01-01 16:31:45
1900-01-01 16:02:16,Tekniska högskolan,Fridhemsplan,1900-01-01 16:17:41,,1900-01-01 16:17:41,True,True,True,True,True,1900-01-01 16:17:41,1900-01-01 16:17:41
1900-01-01 16:02:16,Fridhemsplan,Tekniska högskolan,1900-01-01 16:20:19,1900-01-01 16:21:19,1900-01-01 16:20:19,True,True,True,True,True,1900-01-01 16:20:19,1900-01-01 16:20:19
1900-01-01 16:02:16,Tekniska högskolan,Solna Centrum,1900-01-01 16:23:45,1900-01-01 16:23:45,1900-01-01 16:23:45,True,True,True,True,True,1900-01-01 16:23:45,1900-01-01 16:23:45
1900-01-01 16:02:17,Solna Centrum,Tekniska högskolan,1900-01-01 16:30:55,1900-01-01 16:30:55,1900-01-01 16:39:30,True,True,True,True,True,1900-01-01 16:39:30,1900-01-01 16:39:30
1900-01-01 16:02:18,Globen,Solna Centrum,1900-01-01 16:30:45,1900-01-01 16:30:45,1900-01-01 16:30:45,True,True,True,True,True,1900-01-01 16:30:45,1900-01-01 16:30:45
1900-01-01 16:02:18,Solna Centrum,Globen,1900-01-01 16:36:45,,1900-01-01 16:36:45,True,False,True,True,True,1900-01-01 16:36:45,1900-01-01 16:36:45
1900-01-01 16:02:52,Tekniska högskolan,Fridhemsplan,1900-01-01 16:17:41,1900-01-01 16:22:42,1900-01-01 16:17:41,True,True,True,True,True,1900-01-01 16:17:41,1900-01-01 16:17:41
1900-01-01 16:02:52,Fridhemsplan,Tekniska högskolan,1900-01-01 16:21:19,1900-01-01 16:21:19,1900-01-01 16:20:19,True,True,True,True,True,1900-01-01 16:20:19,1900-01-01 16:20:19
