GroupOfLine,TransportMode,LineNumber,Destination,JourneyDirection,StopAreaName,StopAreaNumber,StopPointNumber,StopPointDesignation,TimeTabledDateTime,ExpectedDateTime,DisplayTime,JourneyNumber,Deviations,RequestTime,Station
tunnelbanans gröna linje,METRO,18,Hässelby strand,1,T-Centralen,1051,2051,1,2023-05-07T16:00:00,2023-05-07T16:00:30,Nu,16344,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans blå linje,METRO,11,Akalla,1,T-Centralen,1051,3051,5,2023-05-07T16:00:30,2023-05-07T16:00:30,Nu,36381,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans röda linje,METRO,14,Fruängen,2,T-Centralen,1051,2052,2,2023-05-07T16:01:00,2023-05-07T16:01:00,Nu,26349,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-05-07T16:01:00,2023-05-07T16:01:40,1 min,26154,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-05-07T16:00:52,2023-05-07T16:01:50,16:00,28110,"[{'Text': 'Inställd', 'Consequence': 'CANCELLED', 'ImportanceLevel': 0}]",2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans blå linje,METRO,10,Kungsträdgården,2,T-Centralen,1051,3052,6,2023-05-07T16:02:00,2023-05-07T16:02:00,1 min,36174,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans gröna linje,METRO,19,Hagsätra,2,T-Centralen,1051,1052,4,2023-05-07T16:02:00,2023-05-07T16:02:03,1 min,16148,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans gröna linje,METRO,17,Åkeshov,1,T-Centralen,1051,2051,1,2023-05-07T16:03:00,2023-05-07T16:03:00,2 min,16948,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans röda linje,METRO,13,Norsborg,2,T-Centralen,1051,2052,2,2023-05-07T16:04:00,2023-05-07T16:04:47,4 min,26616,,2023-05-07 16:00:03.312493,T-Centralen
tunnelbanans röda linje,METRO,14,Mörby centrum,1,T-Centralen,1051,1051,3,2023-05-07T16:04:30,2023-05-07T16:05:17,5 min,26063,,2023-05-07 16:00:03.312493,T-Centralen
