Origin,Destination,Line,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900,920,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200
T-Centralen,Tekniska högskolan,14,0,0,0,0,0,0,0,18,32,32,32,33,35,38,38,38,40,40,40,40,40,41,41,41,41,43,46,48,49,50,55,64,67,67,67,69,69,69,69,69,70,70,71,73,75,75,76,76,76,76,76,76,77,78,81,83,86,87,88,92,96
T-Centralen,Solna Centrum,11,0,0,0,2,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,33,33,33,33,33,33,33
T-Centralen,Friedhemsplan,11,0,0,0,2,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32,32,32,32,33,33,33,33,33,33,33
T-Centralen,Friedhemsplan,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-Centralen,Friedhemsplan,19,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,24,28,30,30,33,33,34,35,35,36,43,74,81,81,89,89,89,89,94,94,74,74,74,74,74,70,70,70,74,74,74,74,74,74,74,70,74,74,74,74,74,94,94,94,94,94
T-Centralen,Friedhemsplan,17,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,22,25,31,31,32,32,37,38,39,42,59,60,60,64,64,64,72,96,96,96,96,105,105,105,106,106,106,106,106,106,106,106,109,109,109,109,109,109,109,120,120,120,122,122,106,109
T-Centralen,Friedhemsplan,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,15,19,28,30,33,34,35,47,52,58,58,62,63,63,68,69,72,73,73,73,73,89,89,89,89,89,87,87,87,94,94,94,98,102,102,102,112,112,113,112,102,102,102,102,102
T-Centralen,Globen,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,12,12,16,21,21,21,23,27,26,26,26,26,23,23,23,26,26,26,27,27,26,26,26,26,26,26,26,27,27,27,27,30,30,30,30,30,30,30,30,30
T-Centralen,Bergshamra,14,0,0,0,0,0,0,0,18,32,32,32,32,34,38,38,38,39,40,40,40,39,40,41,41,41,41,46,48,49,50,51,64,67,69,67,69,69,69,69,69,70,70,72,75,76,76,76,77,77,77,77,78,78,78,81,83,86,87,88,92,96
Tekniska högskolan,T-Centralen,14,0,0,0,0,0,0,0,0,0,0,28,26,22,22,22,23,28,30,30,30,30,30,32,34,33,33,35,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,31
Tekniska högskolan,Friedhemsplan,4,38,43,49,63,75,78,79,88,97,100,100,104,104,106,113,116,120,125,131,134,155,156,174,178,191,199,212,219,222,242,246,242,242,242,242,242,242,242,242,242,242,242,242,242,242,239,239,239,234,234,234,234,234,239,239,239,239,232,233,246,279
Tekniska högskolan,Bergshamra,14,0,0,0,0,0,0,12,13,24,30,33,33,33,33,33,33,34,36,36,36,36,36,36,36,37,38,38,39,39,40,46,46,47,50,53,54,54,54,54,59,60,61,61,61,62,63,63,63,68,71,74,74,74,74,74,75,75,75,72,70,76
Friedhemsplan,Tekniska högskolan,4,70,70,70,73,73,83,89,94,94,95,94,96,98,99,104,106,112,114,115,116,116,116,120,122,130,130,130,137,148,153,156,156,156,156,156,159,160,163,170,170,173,174,173,173,170,174,176,178,181,181,192,205,207,207,219,219,222,224,226,258,437
Friedhemsplan,T-Centralen,18,0,0,0,0,0,0,0,0,0,21,8,8,8,16,30,32,33,33,33,33,33,33,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,37,37,37,37,36,36,36,37,39,40,41,43,43,44,43,37
Friedhemsplan,T-Centralen,10,0,0,0,28,31,31,31,31,31,35,36,36,36,36,36,37,37,37,37,37,38,38,38,40,44,45,45,45,51,59,61,61,61,59,61,61,62,62,62,62,62,61,61,61,61,61,61,61,61,61,61,61,62,66,66,66,66,66,68,68,28
Friedhemsplan,T-Centralen,19,0,0,0,0,0,0,0,0,5,27,26,27,30,30,31,32,33,33,33,33,33,33,34,34,34,34,34,35,35,35,35,36,36,37,36,36,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,41,44,34
Friedhemsplan,T-Centralen,11,0,0,0,28,30,30,31,31,32,36,36,36,36,36,36,36,36,36,36,37,37,37,36,36,37,37,41,39,39,39,39,39,39,41,41,41,45,59,62,62,62,62,63,62,63,64,63,64,65,68,65,69,72,72,72,72,72,74,74,75,64
Friedhemsplan,T-Centralen,17,0,0,0,0,0,0,0,0,15,30,30,30,30,30,31,34,34,34,34,34,34,34,35,35,35,36,36,36,36,36,36,39,39,39,39,39,39,40,40,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,40,66
Friedhemsplan,Solna Centrum,11,0,0,0,0,31,31,32,32,32,33,34,34,35,37,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,51,51,51,51,51,51,51,46,51,51,51,51,52,51,51,51,52,52,56,52,52,52,52,52,52,52,52,39
Friedhemsplan,Globen,19,0,0,0,0,0,0,0,0,0,24,24,26,26,28,30,32,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,36,36,36,36,36,36,35,36,35,38,38,34
Bergshamra,Tekniska högskolan,14,0,0,0,0,0,30,34,34,34,35,39,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,44,44,44,44,45,45,45,45,45,46,46,46,46,45,46,46,46,46,46,48,48,46,48,49
Bergshamra,T-Centralen,14,0,0,0,0,0,30,34,34,34,35,38,44,44,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,46,45,45,45,45,45,45,45,46,45,46,46,46,48,49
Solna Centrum,T-Centralen,11,0,0,0,0,0,0,0,0,0,1,10,21,10,10,10,10,21,12,24,29,43,45,46,48,49,49,49,55,55,55,56,56,57,56,57,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,63,163
