Line,Day,JourneyNumber,DepartureStation,ArrivalStation,ExpectedDepartureTime,ExpectedArrivalTime,RealDepartureTime,RealArrivalTime
14,1,20963,T-Centralen,Tekniska högskolan,2023-04-18 16:04:00,2023-04-18 16:10:00,2023-04-18 16:04:54,2023-04-18 16:10:40
14,1,20144,T-Centralen,Tekniska högskolan,2023-04-18 16:09:00,2023-04-18 16:15:00,2023-04-18 16:09:12,2023-04-18 16:15:00
14,1,20505,Tekniska högskolan,T-Centralen,2023-04-18 16:04:30,2023-04-18 16:11:00,2023-04-18 16:04:30,2023-04-18 16:16:44
14,1,20145,T-Centralen,Tekniska högskolan,2023-04-18 16:14:00,2023-04-18 16:20:00,2023-04-18 16:16:26,2023-04-18 16:22:28
14,1,20506,Tekniska högskolan,T-Centralen,2023-04-18 16:09:30,2023-04-18 16:16:00,2023-04-18 16:09:53,2023-04-18 16:26:26
14,1,20146,T-Centralen,Tekniska högskolan,2023-04-18 16:19:00,2023-04-18 16:25:00,2023-04-18 16:29:38,2023-04-18 16:36:28
14,1,20507,Tekniska högskolan,T-Centralen,2023-04-18 16:14:30,2023-04-18 16:21:00,2023-04-18 16:16:03,2023-04-18 16:30:44
14,1,20508,Tekniska högskolan,T-Centralen,2023-04-18 16:19:30,2023-04-18 16:26:00,2023-04-18 16:20:00,2023-04-18 16:34:25
14,1,20509,Tekniska högskolan,T-Centralen,2023-04-18 16:24:30,2023-04-18 16:31:00,2023-04-18 16:26:13,2023-04-18 16:34:52
14,1,20147,T-Centralen,Tekniska högskolan,2023-04-18 16:24:00,2023-04-18 16:30:00,2023-04-18 16:33:39,2023-04-18 16:41:04
14,1,20149,T-Centralen,Tekniska högskolan,2023-04-18 16:34:00,2023-04-18 16:40:00,2023-04-18 16:34:00,2023-04-18 16:40:00
14,1,20510,Tekniska högskolan,T-Centralen,2023-04-18 16:29:30,2023-04-18 16:36:00,2023-04-18 16:30:09,2023-04-18 16:36:00
14,1,20150,T-Centralen,Tekniska högskolan,2023-04-18 16:39:00,2023-04-18 16:45:00,2023-04-18 16:39:00,2023-04-18 16:45:00
14,1,20511,Tekniska högskolan,T-Centralen,2023-04-18 16:34:30,2023-04-18 16:41:00,2023-04-18 16:34:30,2023-04-18 16:41:00
14,1,20148,T-Centralen,Tekniska högskolan,2023-04-18 16:29:00,2023-04-18 16:35:00,2023-04-18 16:43:25,2023-04-18 16:48:51
14,1,20512,Tekniska högskolan,T-Centralen,2023-04-18 16:39:30,2023-04-18 16:46:00,2023-04-18 16:39:30,2023-04-18 16:46:00
14,1,20513,Tekniska högskolan,T-Centralen,2023-04-18 16:44:30,2023-04-18 16:51:00,2023-04-18 16:44:30,2023-04-18 16:51:00
14,1,28994,T-Centralen,Tekniska högskolan,2023-04-18 16:39:58,2023-04-18 16:45:58,2023-04-18 16:41:50,2023-04-18 16:47:42
14,1,28995,T-Centralen,Tekniska högskolan,2023-04-18 16:34:29,2023-04-18 16:40:29,2023-04-18 16:34:29,2023-04-18 16:40:29
14,1,20151,T-Centralen,Tekniska högskolan,2023-04-18 16:44:00,2023-04-18 16:50:00,2023-04-18 16:44:00,2023-04-18 16:50:00
14,1,20514,Tekniska högskolan,T-Centralen,2023-04-18 16:49:30,2023-04-18 16:56:00,2023-04-18 16:49:30,2023-04-18 16:56:00
14,1,28996,T-Centralen,Tekniska högskolan,2023-04-18 16:47:22,2023-04-18 16:53:22,2023-04-18 16:48:25,2023-04-18 16:54:29
14,1,28998,T-Centralen,Tekniska högskolan,2023-04-18 16:49:14,2023-04-18 16:55:14,2023-04-18 16:50:03,2023-04-18 16:57:13
14,1,20153,T-Centralen,Tekniska högskolan,2023-04-18 16:54:00,2023-04-18 17:00:00,2023-04-18 17:05:32,2023-04-18 17:10:58
14,1,20152,T-Centralen,Tekniska högskolan,2023-04-18 16:49:00,2023-04-18 16:55:00,2023-04-18 17:01:39,2023-04-18 17:07:05
14,1,20154,T-Centralen,Tekniska högskolan,2023-04-18 16:59:00,2023-04-18 17:05:00,2023-04-18 16:59:00,2023-04-18 17:05:00
14,1,28001,T-Centralen,Tekniska högskolan,2023-04-18 16:47:17,2023-04-18 16:53:17,2023-04-18 16:47:17,2023-04-18 16:53:17
14,1,28004,T-Centralen,Tekniska högskolan,2023-04-18 16:46:33,2023-04-18 16:52:33,2023-04-18 16:46:33,2023-04-18 16:52:48
14,1,20515,Tekniska högskolan,T-Centralen,2023-04-18 16:54:30,2023-04-18 17:01:00,2023-04-18 16:54:30,2023-04-18 17:01:00
14,1,20155,T-Centralen,Tekniska högskolan,2023-04-18 17:04:00,2023-04-18 17:10:00,2023-04-18 17:13:40,2023-04-18 17:19:26
14,1,20516,Tekniska högskolan,T-Centralen,2023-04-18 16:59:30,2023-04-18 17:06:00,2023-04-18 16:59:30,2023-04-18 17:06:00
14,1,20156,T-Centralen,Tekniska högskolan,2023-04-18 17:09:00,2023-04-18 17:15:00,2023-04-18 17:17:39,2023-04-18 17:15:33
14,1,20517,Tekniska högskolan,T-Centralen,2023-04-18 17:04:30,2023-04-18 17:11:00,2023-04-18 17:04:30,2023-04-18 17:11:00
14,1,20157,T-Centralen,Tekniska högskolan,2023-04-18 17:14:00,2023-04-18 17:20:00,2023-04-18 17:21:51,2023-04-18 17:20:06
14,1,20518,Tekniska högskolan,T-Centralen,2023-04-18 17:09:30,2023-04-18 17:16:00,2023-04-18 17:09:30,2023-04-18 17:16:00
14,1,28006,T-Centralen,Tekniska högskolan,2023-04-18 16:54:42,2023-04-18 17:00:42,2023-04-18 16:56:01,2023-04-18 17:01:55
14,1,20158,T-Centralen,Tekniska högskolan,2023-04-18 17:19:00,2023-04-18 17:25:00,2023-04-18 17:19:00,2023-04-18 17:25:09
14,1,20519,Tekniska högskolan,T-Centralen,2023-04-18 17:14:30,2023-04-18 17:21:00,2023-04-18 17:14:30,2023-04-18 17:21:00
14,1,20159,T-Centralen,Tekniska högskolan,2023-04-18 17:24:00,2023-04-18 17:30:00,2023-04-18 17:26:05,2023-04-18 17:32:01
14,1,20520,Tekniska högskolan,T-Centralen,2023-04-18 17:19:30,2023-04-18 17:26:00,2023-04-18 17:19:30,2023-04-18 17:26:00
14,1,28010,T-Centralen,Tekniska högskolan,2023-04-18 17:01:55,2023-04-18 17:07:55,2023-04-18 17:02:44,2023-04-18 17:08:38
14,1,20160,T-Centralen,Tekniska högskolan,2023-04-18 17:29:00,2023-04-18 17:35:00,2023-04-18 17:29:00,2023-04-18 17:35:00
14,1,20521,Tekniska högskolan,T-Centralen,2023-04-18 17:24:30,2023-04-18 17:31:00,2023-04-18 17:24:30,2023-04-18 17:31:00
14,1,28011,T-Centralen,Tekniska högskolan,2023-04-18 17:05:21,2023-04-18 17:11:21,2023-04-18 17:05:21,2023-04-18 17:11:21
14,1,20161,T-Centralen,Tekniska högskolan,2023-04-18 17:34:00,2023-04-18 17:40:00,2023-04-18 17:38:55,2023-04-18 17:46:05
14,1,20522,Tekniska högskolan,T-Centralen,2023-04-18 17:29:30,2023-04-18 17:36:00,2023-04-18 17:29:30,2023-04-18 17:36:00
14,1,28015,T-Centralen,Tekniska högskolan,2023-04-18 17:09:46,2023-04-18 17:15:46,2023-04-18 17:10:35,2023-04-18 17:16:29
14,1,20162,T-Centralen,Tekniska högskolan,2023-04-18 17:39:00,2023-04-18 17:45:00,2023-04-18 17:39:00,2023-04-18 17:45:00
14,1,20523,Tekniska högskolan,T-Centralen,2023-04-18 17:34:30,2023-04-18 17:41:00,2023-04-18 17:34:30,2023-04-18 17:41:00
14,1,20163,T-Centralen,Tekniska högskolan,2023-04-18 17:44:00,2023-04-18 17:50:00,2023-04-18 17:44:00,2023-04-18 17:50:00
14,1,28019,T-Centralen,Tekniska högskolan,2023-04-18 17:14:16,2023-04-18 17:20:16,2023-04-18 17:14:16,2023-04-18 17:20:29
14,1,20524,Tekniska högskolan,T-Centralen,2023-04-18 17:39:30,2023-04-18 17:46:00,2023-04-18 17:39:30,2023-04-18 17:46:00
14,1,20164,T-Centralen,Tekniska högskolan,2023-04-18 17:49:00,2023-04-18 17:55:00,2023-04-18 17:49:00,2023-04-18 17:55:00
14,1,20525,Tekniska högskolan,T-Centralen,2023-04-18 17:44:30,2023-04-18 17:51:00,2023-04-18 17:44:30,2023-04-18 17:51:00
14,1,20526,Tekniska högskolan,T-Centralen,2023-04-18 17:49:30,2023-04-18 17:56:00,2023-04-18 17:49:30,2023-04-18 17:56:00
14,1,20073,T-Centralen,Tekniska högskolan,2023-04-19 06:59:00,2023-04-19 07:05:00,2023-04-19 07:00:15,2023-04-19 07:05:51
14,1,20074,T-Centralen,Tekniska högskolan,2023-04-19 07:04:00,2023-04-19 07:10:00,2023-04-19 07:05:11,2023-04-19 07:10:57
14,1,20075,T-Centralen,Tekniska högskolan,2023-04-19 07:09:00,2023-04-19 07:15:00,2023-04-19 07:09:13,2023-04-19 07:15:00
14,1,20397,Tekniska högskolan,T-Centralen,2023-04-19 07:04:45,2023-04-19 07:11:00,2023-04-19 07:04:45,2023-04-19 07:11:00
14,1,20076,T-Centralen,Tekniska högskolan,2023-04-19 07:14:00,2023-04-19 07:20:00,2023-04-19 07:14:00,2023-04-19 07:20:00
14,1,20398,Tekniska högskolan,T-Centralen,2023-04-19 07:09:45,2023-04-19 07:16:00,2023-04-19 07:10:21,2023-04-19 07:16:17
14,1,20077,T-Centralen,Tekniska högskolan,2023-04-19 07:19:00,2023-04-19 07:25:00,2023-04-19 07:19:00,2023-04-19 07:25:00
14,1,20399,Tekniska högskolan,T-Centralen,2023-04-19 07:14:45,2023-04-19 07:21:00,2023-04-19 07:15:14,2023-04-19 07:21:01
14,1,20078,T-Centralen,Tekniska högskolan,2023-04-19 07:24:00,2023-04-19 07:30:00,2023-04-19 07:25:29,2023-04-19 07:30:55
14,1,20400,Tekniska högskolan,T-Centralen,2023-04-19 07:19:45,2023-04-19 07:26:00,2023-04-19 07:19:45,2023-04-19 07:26:00
14,1,20079,T-Centralen,Tekniska högskolan,2023-04-19 07:29:00,2023-04-19 07:35:00,2023-04-19 07:29:23,2023-04-19 07:35:00
