,RequestTime,StartingStation,EndingStation,ModelOld,ModelDelay,ModelDelay50,ModelDelay90,Value_ModelOld,Value_ModelDelay,Value_ModelDelay50,Value_ModelDelay90
0,1900-01-01 07:37:11,Fridhemsplan,Tekniska högskolan,1900-01-01 08:05:00,1900-01-01 08:05:00,1900-01-01 08:05:00,1900-01-01 08:05:00,True,True,True,True
1,1900-01-01 08:34:14,Tekniska högskolan,Fridhemsplan,1900-01-01 08:58:21,1900-01-01 08:58:21,1900-01-01 08:58:21,1900-01-01 09:00:30,True,True,True,True
2,1900-01-01 16:13:47,Solna Centrum,Tekniska högskolan,1900-01-01 16:50:59,1900-01-01 16:50:59,1900-01-01 16:50:59,1900-01-01 16:50:59,True,True,True,True
3,1900-01-01 17:01:23,Solna Centrum,Globen,1900-01-01 17:37:16,1900-01-01 17:37:16,1900-01-01 17:37:16,1900-01-01 17:37:16,True,True,True,True
4,1900-01-01 16:36:48,Globen,Solna Centrum,1900-01-01 17:19:45,1900-01-01 17:19:45,1900-01-01 17:19:45,1900-01-01 17:27:29,True,True,True,True
5,1900-01-01 16:08:55,Globen,Solna Centrum,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,True,True,True,True
6,1900-01-01 07:42:00,Solna Centrum,Globen,1900-01-01 08:23:00,1900-01-01 08:23:00,1900-01-01 08:23:00,1900-01-01 08:30:00,True,True,True,True
7,1900-01-01 17:52:49,Solna Centrum,Tekniska högskolan,,,,,True,False,False,False
8,1900-01-01 16:07:28,Globen,Solna Centrum,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,True,True,True,True
9,1900-01-01 08:58:58,Tekniska högskolan,Fridhemsplan,,,,,True,False,False,False
10,1900-01-01 16:25:39,Solna Centrum,Tekniska högskolan,1900-01-01 16:55:48,1900-01-01 16:55:48,1900-01-01 16:55:48,1900-01-01 16:55:48,True,True,True,True
11,1900-01-01 16:40:50,Tekniska högskolan,Fridhemsplan,1900-01-01 17:10:00,1900-01-01 17:10:00,1900-01-01 17:10:00,1900-01-01 17:10:00,True,True,True,True
12,1900-01-01 16:52:19,Globen,Solna Centrum,1900-01-01 17:34:54,1900-01-01 17:34:54,1900-01-01 17:34:54,1900-01-01 17:34:54,True,True,True,True
13,1900-01-01 07:32:00,Solna Centrum,Tekniska högskolan,1900-01-01 08:05:00,1900-01-01 08:05:00,1900-01-01 08:05:00,1900-01-01 08:05:00,True,True,True,True
14,1900-01-01 07:43:49,Solna Centrum,Tekniska högskolan,1900-01-01 08:20:04,1900-01-01 08:20:04,1900-01-01 08:20:04,1900-01-01 08:20:04,True,True,True,True
15,1900-01-01 07:11:51,Globen,Solna Centrum,1900-01-01 07:53:15,1900-01-01 07:53:15,1900-01-01 07:53:15,1900-01-01 07:53:15,True,True,True,True
16,1900-01-01 17:22:02,Solna Centrum,Tekniska högskolan,1900-01-01 17:55:18,1900-01-01 18:09:30,1900-01-01 17:55:18,1900-01-01 18:02:10,True,True,True,True
17,1900-01-01 08:39:28,Globen,Solna Centrum,,,,,True,False,False,False
18,1900-01-01 16:06:13,Globen,Solna Centrum,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,1900-01-01 16:44:57,True,True,True,True
19,1900-01-01 16:43:57,Tekniska högskolan,Solna Centrum,1900-01-01 17:13:16,1900-01-01 17:27:29,1900-01-01 17:13:16,1900-01-01 17:13:16,True,True,True,True
20,1900-01-01 07:37:14,Solna Centrum,Globen,1900-01-01 08:23:00,1900-01-01 08:23:00,1900-01-01 08:23:00,1900-01-01 08:23:00,True,True,True,True
21,1900-01-01 08:52:04,Solna Centrum,Globen,,,,,True,False,False,False
22,1900-01-01 16:09:45,Tekniska högskolan,Fridhemsplan,1900-01-01 16:38:41,1900-01-01 16:38:41,1900-01-01 16:38:41,1900-01-01 16:38:41,True,True,True,True
23,1900-01-01 08:30:15,Globen,Solna Centrum,1900-01-01 09:10:45,1900-01-01 09:10:45,1900-01-01 09:10:45,,True,True,True,False
24,1900-01-01 16:36:10,Solna Centrum,Globen,1900-01-01 17:15:15,1900-01-01 17:15:15,1900-01-01 17:15:15,1900-01-01 17:21:15,True,True,True,True
