StartStation,EndStation,Lines,DepartureStations,ArrivalStations,DepartureTime,ArrivalTime,TransitionTime,RequestTime
Tekniska högskolan,Fridhemsplan,"[14, 10]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 6, 59), 0, datetime.datetime(1900, 1, 1, 7, 8)]","[datetime.datetime(1900, 1, 1, 7, 6), 0, datetime.datetime(1900, 1, 1, 7, 11)]","[0, 3.0, 0]",2023-05-12 07:00:09.757413
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 6, 56)]","[datetime.datetime(1900, 1, 1, 7, 10)]",[0],2023-05-12 07:00:09.757413
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 7, 3)]","[datetime.datetime(1900, 1, 1, 7, 17)]",[0],2023-05-12 07:00:09.757413
Tekniska högskolan,Fridhemsplan,"[6, 17]","['Östra station', 'Odenplan', 'Odenplan Sveavägen', 'Odenplan']","['Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 7, 4), 0, 0, datetime.datetime(1900, 1, 1, 7, 16)]","[datetime.datetime(1900, 1, 1, 7, 10), 0, 0, datetime.datetime(1900, 1, 1, 7, 19)]","[0, 2.0, 3.0, 0]",2023-05-12 07:00:09.757413
Tekniska högskolan,Fridhemsplan,"[67, 18]","['Östra station', 'Odenplan', 'Odenplan Sveavägen', 'Odenplan']","['Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 7, 7), 0, 0, datetime.datetime(1900, 1, 1, 7, 19)]","[datetime.datetime(1900, 1, 1, 7, 14), 0, 0, datetime.datetime(1900, 1, 1, 7, 22)]","[0, 2.0, 3.0, 0]",2023-05-12 07:00:09.757413
Tekniska högskolan,Fridhemsplan,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 7, 9), 0, datetime.datetime(1900, 1, 1, 7, 20)]","[datetime.datetime(1900, 1, 1, 7, 16), 0, datetime.datetime(1900, 1, 1, 7, 23)]","[0, 3.0, 0]",2023-05-12 07:00:09.757413
Tekniska högskolan,Fridhemsplan,[4],['Östra station'],['Fridhemsplan'],"[datetime.datetime(1900, 1, 1, 7, 10)]","[datetime.datetime(1900, 1, 1, 7, 24)]",[0],2023-05-12 07:00:09.757413
Tekniska högskolan,Fridhemsplan,"[6, 19]","['Östra station', 'Odenplan', 'Odenplan Sveavägen', 'Odenplan']","['Odenplan', 'Odenplan Sveavägen', 'Odenplan', 'Fridhemsplan']","[datetime.datetime(1900, 1, 1, 7, 13), 0, 0, datetime.datetime(1900, 1, 1, 7, 25)]","[datetime.datetime(1900, 1, 1, 7, 19), 0, 0, datetime.datetime(1900, 1, 1, 7, 28)]","[0, 2.0, 3.0, 0]",2023-05-12 07:00:09.757413
Fridhemsplan,Tekniska högskolan,[4],['Fridhemsplan'],['Östra station'],"[datetime.datetime(1900, 1, 1, 7, 0)]","[datetime.datetime(1900, 1, 1, 7, 14)]",[0],2023-05-12 07:00:09.957741
Fridhemsplan,Tekniska högskolan,"[11, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 7, 4), 0, datetime.datetime(1900, 1, 1, 7, 14)]","[datetime.datetime(1900, 1, 1, 7, 8), 0, datetime.datetime(1900, 1, 1, 7, 20)]","[0, 4.0, 0]",2023-05-12 07:00:09.957741
Fridhemsplan,Tekniska högskolan,[4],['Fridhemsplan'],['Östra station'],"[datetime.datetime(1900, 1, 1, 7, 7)]","[datetime.datetime(1900, 1, 1, 7, 21)]",[0],2023-05-12 07:00:09.957741
Fridhemsplan,Tekniska högskolan,[4],['Fridhemsplan'],['Östra station'],"[datetime.datetime(1900, 1, 1, 7, 10)]","[datetime.datetime(1900, 1, 1, 7, 24)]",[0],2023-05-12 07:00:09.957741
Fridhemsplan,Tekniska högskolan,"[17, 14]","['Fridhemsplan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Tekniska högskolan']","[datetime.datetime(1900, 1, 1, 7, 13), 0, datetime.datetime(1900, 1, 1, 7, 24)]","[datetime.datetime(1900, 1, 1, 7, 21), 0, datetime.datetime(1900, 1, 1, 7, 30)]","[0, 2.0, 0]",2023-05-12 07:00:09.957741
Tekniska högskolan,Solna Centrum,"[14, 11]","['Tekniska högskolan', 'T-Centralen', 'T-Centralen']","['T-Centralen', 'T-Centralen', 'Solna centrum']","[datetime.datetime(1900, 1, 1, 7, 9), 0, datetime.datetime(1900, 1, 1, 7, 20)]","[datetime.datetime(1900, 1, 1, 7, 16), 0, datetime.datetime(1900, 1, 1, 7, 29)]","[0, 3.0, 0]",2023-05-12 07:00:10.208099
