service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20230402,20230618
2,0,0,0,0,0,0,0,20230401,20230617
3,0,0,0,0,0,0,0,20230330,20230622
4,0,0,0,0,0,0,0,20230411,20230621
5,0,0,0,0,0,0,0,20230519,20230622
6,0,0,0,0,0,0,0,20230330,20230621
7,0,0,0,0,0,0,0,20230330,20230613
8,0,0,0,0,0,0,0,20230330,20230622
9,0,0,0,0,0,0,0,20230401,20230618
10,0,0,0,0,0,0,0,20230411,20230622
11,0,0,0,0,0,0,0,20230623,20230820
12,0,0,0,0,0,0,0,20230623,20230819
13,0,0,0,0,0,0,0,20230624,20230820
14,0,0,0,0,0,0,0,20230626,20230818
15,0,0,0,0,0,0,0,20230626,20230818
16,0,0,0,0,0,0,0,20230703,20230804
17,0,0,0,0,0,0,0,20230623,20230820
18,0,0,0,0,0,0,0,20230330,20230622
19,0,0,0,0,0,0,0,20230330,20230621
20,0,0,0,0,0,0,0,20230401,20230622
21,0,0,0,0,0,0,0,20230330,20230622
22,0,0,0,0,0,0,0,20230401,20230622
23,0,0,0,0,0,0,0,20230330,20230621
24,0,0,0,0,0,0,0,20230402,20230622
25,0,0,0,0,0,0,0,20230401,20230618
26,0,0,0,0,0,0,0,20230407,20230618
27,0,0,0,0,0,0,0,20230401,20230820
28,0,0,0,0,0,0,0,20230402,20230402
29,0,0,0,0,0,0,0,20230623,20230819
30,0,0,0,0,0,0,0,20230626,20230630
31,0,0,0,0,0,0,0,20230703,20230818
32,0,0,0,0,0,0,0,20230623,20230702
33,0,0,0,0,0,0,0,20230623,20230701
34,0,0,0,0,0,0,0,20230708,20230820
35,0,0,0,0,0,0,0,20230708,20230819
36,0,0,0,0,0,0,0,20230624,20230702
37,0,0,0,0,0,0,0,20230709,20230820
38,0,0,0,0,0,0,0,20230807,20230818
39,0,0,0,0,0,0,0,20230623,20230701
40,0,0,0,0,0,0,0,20230703,20230819
41,0,0,0,0,0,0,0,20230623,20230820
42,0,0,0,0,0,0,0,20230330,20230521
43,0,0,0,0,0,0,0,20230330,20230413
44,0,0,0,0,0,0,0,20230330,20230519
45,0,0,0,0,0,0,0,20230330,20230521
46,0,0,0,0,0,0,0,20230401,20230410
47,0,0,0,0,0,0,0,20230414,20230521
48,0,0,0,0,0,0,0,20230330,20230413
49,0,0,0,0,0,0,0,20230330,20230520
50,0,0,0,0,0,0,0,20230330,20230516
51,0,0,0,0,0,0,0,20230417,20230516
52,0,0,0,0,0,0,0,20230414,20230520
53,0,0,0,0,0,0,0,20230415,20230521
54,0,0,0,0,0,0,0,20230416,20230521
55,0,0,0,0,0,0,0,20230416,20230521
56,0,0,0,0,0,0,0,20230414,20230521
57,0,0,0,0,0,0,0,20230415,20230520
58,0,0,0,0,0,0,0,20230414,20230519
59,0,0,0,0,0,0,0,20230414,20230520
60,0,0,0,0,0,0,0,20230414,20230521
61,0,0,0,0,0,0,0,20230414,20230519
62,0,0,0,0,0,0,0,20230414,20230521
63,0,0,0,0,0,0,0,20230401,20230521
64,0,0,0,0,0,0,0,20230330,20230519
65,0,0,0,0,0,0,0,20230401,20230623
66,0,0,0,0,0,0,0,20230331,20230622
67,0,0,0,0,0,0,0,20230406,20230409
68,0,0,0,0,0,0,0,20230331,20230623
69,0,0,0,0,0,0,0,20230407,20230410
70,0,0,0,0,0,0,0,20230330,20230621
71,0,0,0,0,0,0,0,20230330,20230622
72,0,0,0,0,0,0,0,20230330,20230621
73,0,0,0,0,0,0,0,20230401,20230623
74,0,0,0,0,0,0,0,20230402,20230618
75,0,0,0,0,0,0,0,20230410,20230410
76,0,0,0,0,0,0,0,20230330,20230623
77,0,0,0,0,0,0,0,20230407,20230409
78,0,0,0,0,0,0,0,20230330,20230622
79,0,0,0,0,0,0,0,20230406,20230410
80,0,0,0,0,0,0,0,20230406,20230410
81,0,0,0,0,0,0,0,20230406,20230406
82,0,0,0,0,0,0,0,20230330,20230622
83,0,0,0,0,0,0,0,20230623,20230818
84,0,0,0,0,0,0,0,20230624,20230820
85,0,0,0,0,0,0,0,20230623,20230819
86,0,0,0,0,0,0,0,20230624,20230820
87,0,0,0,0,0,0,0,20230623,20230818
88,0,0,0,0,0,0,0,20230330,20230622
89,0,0,0,0,0,0,0,20230331,20230622
90,0,0,0,0,0,0,0,20230623,20230819
91,0,0,0,0,0,0,0,20230707,20230804
92,0,0,0,0,0,0,0,20230401,20230617
93,0,0,0,0,0,0,0,20230405,20230405
94,0,0,0,0,0,0,0,20230623,20230623
95,0,0,0,0,0,0,0,20230331,20230622
96,0,0,0,0,0,0,0,20230330,20230622
97,0,0,0,0,0,0,0,20230331,20230622
98,0,0,0,0,0,0,0,20230330,20230621
99,0,0,0,0,0,0,0,20230331,20230623
100,0,0,0,0,0,0,0,20230401,20230618
101,0,0,0,0,0,0,0,20230330,20230621
102,0,0,0,0,0,0,0,20230330,20230621
103,0,0,0,0,0,0,0,20230402,20230623
104,0,0,0,0,0,0,0,20230405,20230623
105,0,0,0,0,0,0,0,20230331,20230622
106,0,0,0,0,0,0,0,20230331,20230622
107,0,0,0,0,0,0,0,20230331,20230623
108,0,0,0,0,0,0,0,20230330,20230622
109,0,0,0,0,0,0,0,20230401,20230617
110,0,0,0,0,0,0,0,20230401,20230617
111,0,0,0,0,0,0,0,20230402,20230618
112,0,0,0,0,0,0,0,20230330,20230621
113,0,0,0,0,0,0,0,20230331,20230622
