service_id,date,exception_type
1,20230402,1
1,20230407,1
1,20230409,1
1,20230410,1
1,20230416,1
1,20230423,1
1,20230430,1
1,20230501,1
1,20230507,1
1,20230514,1
1,20230518,1
1,20230521,1
1,20230528,1
1,20230604,1
1,20230606,1
1,20230611,1
1,20230618,1
2,20230401,1
2,20230408,1
2,20230415,1
2,20230422,1
2,20230429,1
2,20230506,1
2,20230513,1
2,20230520,1
2,20230527,1
2,20230603,1
2,20230610,1
2,20230617,1
3,20230330,1
3,20230331,1
3,20230403,1
3,20230404,1
3,20230405,1
3,20230406,1
3,20230411,1
3,20230412,1
3,20230413,1
3,20230414,1
3,20230417,1
3,20230418,1
3,20230419,1
3,20230420,1
3,20230421,1
3,20230424,1
3,20230425,1
3,20230426,1
3,20230427,1
3,20230428,1
3,20230502,1
3,20230503,1
3,20230504,1
3,20230505,1
3,20230508,1
3,20230509,1
3,20230510,1
3,20230511,1
3,20230512,1
3,20230515,1
3,20230516,1
3,20230517,1
3,20230519,1
3,20230522,1
3,20230523,1
3,20230524,1
3,20230525,1
3,20230526,1
3,20230529,1
3,20230530,1
3,20230531,1
3,20230601,1
3,20230602,1
3,20230605,1
3,20230607,1
3,20230608,1
3,20230609,1
3,20230612,1
3,20230613,1
3,20230614,1
3,20230615,1
3,20230616,1
3,20230619,1
3,20230620,1
3,20230621,1
3,20230622,1
4,20230411,1
4,20230412,1
4,20230413,1
4,20230414,1
4,20230614,1
4,20230615,1
4,20230616,1
4,20230619,1
4,20230620,1
4,20230621,1
5,20230519,1
5,20230605,1
5,20230622,1
6,20230330,1
6,20230331,1
6,20230403,1
6,20230404,1
6,20230405,1
6,20230406,1
6,20230411,1
6,20230412,1
6,20230413,1
6,20230414,1
6,20230417,1
6,20230418,1
6,20230419,1
6,20230420,1
6,20230421,1
6,20230424,1
6,20230425,1
6,20230426,1
6,20230427,1
6,20230428,1
6,20230502,1
6,20230503,1
6,20230504,1
6,20230505,1
6,20230508,1
6,20230509,1
6,20230510,1
6,20230511,1
6,20230512,1
6,20230515,1
6,20230516,1
6,20230517,1
6,20230522,1
6,20230523,1
6,20230524,1
6,20230525,1
6,20230526,1
6,20230529,1
6,20230530,1
6,20230531,1
6,20230601,1
6,20230602,1
6,20230607,1
6,20230608,1
6,20230609,1
6,20230612,1
6,20230613,1
6,20230614,1
6,20230615,1
6,20230616,1
6,20230619,1
6,20230620,1
6,20230621,1
7,20230330,1
7,20230331,1
7,20230403,1
7,20230404,1
7,20230405,1
7,20230406,1
7,20230417,1
7,20230418,1
7,20230419,1
7,20230420,1
7,20230421,1
7,20230424,1
7,20230425,1
7,20230426,1
7,20230427,1
7,20230428,1
7,20230502,1
7,20230503,1
7,20230504,1
7,20230505,1
7,20230508,1
7,20230509,1
7,20230510,1
7,20230511,1
7,20230512,1
7,20230515,1
7,20230516,1
7,20230517,1
7,20230522,1
7,20230523,1
7,20230524,1
7,20230525,1
7,20230526,1
7,20230529,1
7,20230530,1
7,20230531,1
7,20230601,1
7,20230602,1
7,20230607,1
7,20230608,1
7,20230609,1
7,20230612,1
7,20230613,1
8,20230330,1
8,20230331,1
8,20230403,1
8,20230404,1
8,20230405,1
8,20230406,1
8,20230417,1
8,20230418,1
8,20230419,1
8,20230420,1
8,20230421,1
8,20230424,1
8,20230425,1
8,20230426,1
8,20230427,1
8,20230428,1
8,20230502,1
8,20230503,1
8,20230504,1
8,20230505,1
8,20230508,1
8,20230509,1
8,20230510,1
8,20230511,1
8,20230512,1
8,20230515,1
8,20230516,1
8,20230517,1
8,20230519,1
8,20230522,1
8,20230523,1
8,20230524,1
8,20230525,1
8,20230526,1
8,20230529,1
8,20230530,1
8,20230531,1
8,20230601,1
8,20230602,1
8,20230605,1
8,20230607,1
8,20230608,1
8,20230609,1
8,20230612,1
8,20230613,1
8,20230622,1
9,20230401,1
9,20230402,1
9,20230407,1
9,20230408,1
9,20230409,1
9,20230410,1
9,20230415,1
9,20230416,1
9,20230422,1
9,20230423,1
9,20230429,1
9,20230430,1
9,20230501,1
9,20230506,1
9,20230507,1
9,20230513,1
9,20230514,1
9,20230518,1
9,20230520,1
9,20230521,1
9,20230527,1
9,20230528,1
9,20230603,1
9,20230604,1
9,20230606,1
9,20230610,1
9,20230611,1
9,20230617,1
9,20230618,1
10,20230411,1
10,20230412,1
10,20230413,1
10,20230414,1
10,20230519,1
10,20230605,1
10,20230614,1
10,20230615,1
10,20230616,1
10,20230619,1
10,20230620,1
10,20230621,1
10,20230622,1
11,20230623,1
11,20230624,1
11,20230625,1
11,20230701,1
11,20230702,1
11,20230708,1
11,20230709,1
11,20230715,1
11,20230716,1
11,20230722,1
11,20230723,1
11,20230729,1
11,20230730,1
11,20230805,1
11,20230806,1
11,20230812,1
11,20230813,1
11,20230819,1
11,20230820,1
12,20230623,1
12,20230701,1
12,20230708,1
12,20230715,1
12,20230722,1
12,20230729,1
12,20230805,1
12,20230812,1
12,20230819,1
13,20230624,1
13,20230625,1
13,20230702,1
13,20230709,1
13,20230716,1
13,20230723,1
13,20230730,1
13,20230806,1
13,20230813,1
13,20230820,1
14,20230626,1
14,20230627,1
14,20230628,1
14,20230629,1
14,20230630,1
14,20230703,1
14,20230704,1
14,20230705,1
14,20230706,1
14,20230707,1
14,20230710,1
14,20230711,1
14,20230712,1
14,20230713,1
14,20230714,1
14,20230717,1
14,20230718,1
14,20230719,1
14,20230720,1
14,20230721,1
14,20230724,1
14,20230725,1
14,20230726,1
14,20230727,1
14,20230728,1
14,20230731,1
14,20230801,1
14,20230802,1
14,20230803,1
14,20230804,1
14,20230807,1
14,20230808,1
14,20230809,1
14,20230810,1
14,20230811,1
14,20230814,1
14,20230815,1
14,20230816,1
14,20230817,1
14,20230818,1
15,20230626,1
15,20230627,1
15,20230628,1
15,20230629,1
15,20230630,1
15,20230807,1
15,20230808,1
15,20230809,1
15,20230810,1
15,20230811,1
15,20230814,1
15,20230815,1
15,20230816,1
15,20230817,1
15,20230818,1
16,20230703,1
16,20230704,1
16,20230705,1
16,20230706,1
16,20230707,1
16,20230710,1
16,20230711,1
16,20230712,1
16,20230713,1
16,20230714,1
16,20230717,1
16,20230718,1
16,20230719,1
16,20230720,1
16,20230721,1
16,20230724,1
16,20230725,1
16,20230726,1
16,20230727,1
16,20230728,1
16,20230731,1
16,20230801,1
16,20230802,1
16,20230803,1
16,20230804,1
17,20230623,1
17,20230624,1
17,20230625,1
17,20230626,1
17,20230627,1
17,20230628,1
17,20230629,1
17,20230630,1
17,20230701,1
17,20230702,1
17,20230703,1
17,20230704,1
17,20230705,1
17,20230706,1
17,20230707,1
17,20230708,1
17,20230709,1
17,20230710,1
17,20230711,1
17,20230712,1
17,20230713,1
17,20230714,1
17,20230715,1
17,20230716,1
17,20230717,1
17,20230718,1
17,20230719,1
17,20230720,1
17,20230721,1
17,20230722,1
17,20230723,1
17,20230724,1
17,20230725,1
17,20230726,1
17,20230727,1
17,20230728,1
17,20230729,1
17,20230730,1
17,20230731,1
17,20230801,1
17,20230802,1
17,20230803,1
17,20230804,1
17,20230805,1
17,20230806,1
17,20230807,1
17,20230808,1
17,20230809,1
17,20230810,1
17,20230811,1
17,20230812,1
17,20230813,1
17,20230814,1
17,20230815,1
17,20230816,1
17,20230817,1
17,20230818,1
17,20230819,1
17,20230820,1
18,20230330,1
18,20230331,1
18,20230401,1
18,20230402,1
18,20230403,1
18,20230404,1
18,20230405,1
18,20230406,1
18,20230407,1
18,20230408,1
18,20230409,1
18,20230410,1
18,20230411,1
18,20230412,1
18,20230413,1
18,20230414,1
18,20230415,1
18,20230416,1
18,20230417,1
18,20230418,1
18,20230419,1
18,20230420,1
18,20230421,1
18,20230422,1
18,20230423,1
18,20230424,1
18,20230425,1
18,20230426,1
18,20230427,1
18,20230428,1
18,20230429,1
18,20230430,1
18,20230501,1
18,20230502,1
18,20230503,1
18,20230504,1
18,20230505,1
18,20230506,1
18,20230507,1
18,20230508,1
18,20230509,1
18,20230510,1
18,20230511,1
18,20230512,1
18,20230513,1
18,20230514,1
18,20230515,1
18,20230516,1
18,20230517,1
18,20230518,1
18,20230519,1
18,20230520,1
18,20230521,1
18,20230522,1
18,20230523,1
18,20230524,1
18,20230525,1
18,20230526,1
18,20230527,1
18,20230528,1
18,20230529,1
18,20230530,1
18,20230531,1
18,20230601,1
18,20230602,1
18,20230603,1
18,20230604,1
18,20230605,1
18,20230606,1
18,20230607,1
18,20230608,1
18,20230609,1
18,20230610,1
18,20230611,1
18,20230612,1
18,20230613,1
18,20230614,1
18,20230615,1
18,20230616,1
18,20230617,1
18,20230618,1
18,20230619,1
18,20230620,1
18,20230621,1
18,20230622,1
19,20230330,1
19,20230331,1
19,20230401,1
19,20230403,1
19,20230404,1
19,20230405,1
19,20230406,1
19,20230408,1
19,20230411,1
19,20230412,1
19,20230413,1
19,20230414,1
19,20230415,1
19,20230417,1
19,20230418,1
19,20230419,1
19,20230420,1
19,20230421,1
19,20230422,1
19,20230424,1
19,20230425,1
19,20230426,1
19,20230427,1
19,20230428,1
19,20230429,1
19,20230502,1
19,20230503,1
19,20230504,1
19,20230505,1
19,20230506,1
19,20230508,1
19,20230509,1
19,20230510,1
19,20230511,1
19,20230512,1
19,20230513,1
19,20230515,1
19,20230516,1
19,20230517,1
19,20230520,1
19,20230522,1
19,20230523,1
19,20230524,1
19,20230525,1
19,20230526,1
19,20230527,1
19,20230529,1
19,20230530,1
19,20230531,1
19,20230601,1
19,20230602,1
19,20230603,1
19,20230607,1
19,20230608,1
19,20230609,1
19,20230610,1
19,20230612,1
19,20230613,1
19,20230614,1
19,20230615,1
19,20230616,1
19,20230617,1
19,20230619,1
19,20230620,1
19,20230621,1
20,20230401,1
20,20230408,1
20,20230415,1
20,20230422,1
20,20230429,1
20,20230506,1
20,20230513,1
20,20230519,1
20,20230520,1
20,20230527,1
20,20230603,1
20,20230605,1
20,20230610,1
20,20230617,1
20,20230622,1
21,20230330,1
21,20230331,1
21,20230401,1
21,20230403,1
21,20230404,1
21,20230405,1
21,20230406,1
21,20230408,1
21,20230411,1
21,20230412,1
21,20230413,1
21,20230414,1
21,20230415,1
21,20230417,1
21,20230418,1
21,20230419,1
21,20230420,1
21,20230421,1
21,20230422,1
21,20230424,1
21,20230425,1
21,20230426,1
21,20230427,1
21,20230428,1
21,20230429,1
21,20230502,1
21,20230503,1
21,20230504,1
21,20230505,1
21,20230506,1
21,20230508,1
21,20230509,1
21,20230510,1
21,20230511,1
21,20230512,1
21,20230513,1
21,20230515,1
21,20230516,1
21,20230517,1
21,20230519,1
21,20230520,1
21,20230522,1
21,20230523,1
21,20230524,1
21,20230525,1
21,20230526,1
21,20230527,1
21,20230529,1
21,20230530,1
21,20230531,1
21,20230601,1
21,20230602,1
21,20230603,1
21,20230605,1
21,20230607,1
21,20230608,1
21,20230609,1
21,20230610,1
21,20230612,1
21,20230613,1
21,20230614,1
21,20230615,1
21,20230616,1
21,20230617,1
21,20230619,1
21,20230620,1
21,20230621,1
21,20230622,1
22,20230401,1
22,20230402,1
22,20230407,1
22,20230408,1
22,20230409,1
22,20230410,1
22,20230415,1
22,20230416,1
22,20230422,1
22,20230423,1
22,20230429,1
22,20230430,1
22,20230501,1
22,20230506,1
22,20230507,1
22,20230513,1
22,20230514,1
22,20230518,1
22,20230519,1
22,20230520,1
22,20230521,1
22,20230527,1
22,20230528,1
22,20230603,1
22,20230604,1
22,20230605,1
22,20230606,1
22,20230610,1
22,20230611,1
22,20230617,1
22,20230618,1
22,20230622,1
23,20230330,1
23,20230331,1
23,20230402,1
23,20230403,1
23,20230404,1
23,20230405,1
23,20230406,1
23,20230407,1
23,20230409,1
23,20230410,1
23,20230411,1
23,20230412,1
23,20230413,1
23,20230414,1
23,20230416,1
23,20230417,1
23,20230418,1
23,20230419,1
23,20230420,1
23,20230421,1
23,20230423,1
23,20230424,1
23,20230425,1
23,20230426,1
23,20230427,1
23,20230428,1
23,20230430,1
23,20230501,1
23,20230502,1
23,20230503,1
23,20230504,1
23,20230505,1
23,20230507,1
23,20230508,1
23,20230509,1
23,20230510,1
23,20230511,1
23,20230512,1
23,20230514,1
23,20230515,1
23,20230516,1
23,20230517,1
23,20230518,1
23,20230521,1
23,20230522,1
23,20230523,1
23,20230524,1
23,20230525,1
23,20230526,1
23,20230528,1
23,20230529,1
23,20230530,1
23,20230531,1
23,20230601,1
23,20230602,1
23,20230604,1
23,20230606,1
23,20230607,1
23,20230608,1
23,20230609,1
23,20230611,1
23,20230612,1
23,20230613,1
23,20230614,1
23,20230615,1
23,20230616,1
23,20230618,1
23,20230619,1
23,20230620,1
23,20230621,1
24,20230402,1
24,20230407,1
24,20230409,1
24,20230410,1
24,20230416,1
24,20230423,1
24,20230430,1
24,20230501,1
24,20230507,1
24,20230514,1
24,20230518,1
24,20230519,1
24,20230521,1
24,20230528,1
24,20230604,1
24,20230605,1
24,20230606,1
24,20230611,1
24,20230618,1
24,20230622,1
25,20230401,1
25,20230407,1
25,20230408,1
25,20230409,1
25,20230410,1
25,20230415,1
25,20230416,1
25,20230422,1
25,20230423,1
25,20230429,1
25,20230430,1
25,20230501,1
25,20230506,1
25,20230507,1
25,20230513,1
25,20230514,1
25,20230518,1
25,20230520,1
25,20230521,1
25,20230527,1
25,20230528,1
25,20230603,1
25,20230604,1
25,20230606,1
25,20230610,1
25,20230611,1
25,20230617,1
25,20230618,1
26,20230407,1
26,20230409,1
26,20230410,1
26,20230416,1
26,20230423,1
26,20230430,1
26,20230501,1
26,20230507,1
26,20230514,1
26,20230518,1
26,20230521,1
26,20230528,1
26,20230604,1
26,20230606,1
26,20230611,1
26,20230618,1
27,20230401,1
27,20230402,1
27,20230407,1
27,20230408,1
27,20230409,1
27,20230410,1
27,20230415,1
27,20230416,1
27,20230422,1
27,20230423,1
27,20230429,1
27,20230430,1
27,20230501,1
27,20230506,1
27,20230507,1
27,20230513,1
27,20230514,1
27,20230518,1
27,20230520,1
27,20230521,1
27,20230527,1
27,20230528,1
27,20230603,1
27,20230604,1
27,20230606,1
27,20230610,1
27,20230611,1
27,20230617,1
27,20230618,1
27,20230623,1
27,20230624,1
27,20230625,1
27,20230701,1
27,20230702,1
27,20230708,1
27,20230709,1
27,20230715,1
27,20230716,1
27,20230722,1
27,20230723,1
27,20230729,1
27,20230730,1
27,20230805,1
27,20230806,1
27,20230812,1
27,20230813,1
27,20230819,1
27,20230820,1
28,20230402,1
29,20230623,1
29,20230626,1
29,20230627,1
29,20230628,1
29,20230629,1
29,20230630,1
29,20230701,1
29,20230703,1
29,20230704,1
29,20230705,1
29,20230706,1
29,20230707,1
29,20230708,1
29,20230710,1
29,20230711,1
29,20230712,1
29,20230713,1
29,20230714,1
29,20230715,1
29,20230717,1
29,20230718,1
29,20230719,1
29,20230720,1
29,20230721,1
29,20230722,1
29,20230724,1
29,20230725,1
29,20230726,1
29,20230727,1
29,20230728,1
29,20230729,1
29,20230731,1
29,20230801,1
29,20230802,1
29,20230803,1
29,20230804,1
29,20230805,1
29,20230807,1
29,20230808,1
29,20230809,1
29,20230810,1
29,20230811,1
29,20230812,1
29,20230814,1
29,20230815,1
29,20230816,1
29,20230817,1
29,20230818,1
29,20230819,1
30,20230626,1
30,20230627,1
30,20230628,1
30,20230629,1
30,20230630,1
31,20230703,1
31,20230704,1
31,20230705,1
31,20230706,1
31,20230707,1
31,20230710,1
31,20230711,1
31,20230712,1
31,20230713,1
31,20230714,1
31,20230717,1
31,20230718,1
31,20230719,1
31,20230720,1
31,20230721,1
31,20230724,1
31,20230725,1
31,20230726,1
31,20230727,1
31,20230728,1
31,20230731,1
31,20230801,1
31,20230802,1
31,20230803,1
31,20230804,1
31,20230807,1
31,20230808,1
31,20230809,1
31,20230810,1
31,20230811,1
31,20230814,1
31,20230815,1
31,20230816,1
31,20230817,1
31,20230818,1
32,20230623,1
32,20230624,1
32,20230625,1
32,20230701,1
32,20230702,1
33,20230623,1
33,20230701,1
34,20230708,1
34,20230709,1
34,20230715,1
34,20230716,1
34,20230722,1
34,20230723,1
34,20230729,1
34,20230730,1
34,20230805,1
34,20230806,1
34,20230812,1
34,20230813,1
34,20230819,1
34,20230820,1
35,20230708,1
35,20230715,1
35,20230722,1
35,20230729,1
35,20230805,1
35,20230812,1
35,20230819,1
36,20230624,1
36,20230625,1
36,20230702,1
37,20230709,1
37,20230716,1
37,20230723,1
37,20230730,1
37,20230806,1
37,20230813,1
37,20230820,1
38,20230807,1
38,20230808,1
38,20230809,1
38,20230810,1
38,20230811,1
38,20230814,1
38,20230815,1
38,20230816,1
38,20230817,1
38,20230818,1
39,20230623,1
39,20230626,1
39,20230627,1
39,20230628,1
39,20230629,1
39,20230630,1
39,20230701,1
40,20230703,1
40,20230704,1
40,20230705,1
40,20230706,1
40,20230707,1
40,20230708,1
40,20230710,1
40,20230711,1
40,20230712,1
40,20230713,1
40,20230714,1
40,20230715,1
40,20230717,1
40,20230718,1
40,20230719,1
40,20230720,1
40,20230721,1
40,20230722,1
40,20230724,1
40,20230725,1
40,20230726,1
40,20230727,1
40,20230728,1
40,20230729,1
40,20230731,1
40,20230801,1
40,20230802,1
40,20230803,1
40,20230804,1
40,20230805,1
40,20230807,1
40,20230808,1
40,20230809,1
40,20230810,1
40,20230811,1
40,20230812,1
40,20230814,1
40,20230815,1
40,20230816,1
40,20230817,1
40,20230818,1
40,20230819,1
41,20230623,1
41,20230624,1
41,20230625,1
41,20230626,1
41,20230627,1
41,20230628,1
41,20230629,1
41,20230630,1
41,20230701,1
41,20230702,1
41,20230708,1
41,20230709,1
41,20230715,1
41,20230716,1
41,20230722,1
41,20230723,1
41,20230729,1
41,20230730,1
41,20230805,1
41,20230806,1
41,20230807,1
41,20230808,1
41,20230809,1
41,20230810,1
41,20230811,1
41,20230812,1
41,20230813,1
41,20230814,1
41,20230815,1
41,20230816,1
41,20230817,1
41,20230818,1
41,20230819,1
41,20230820,1
42,20230330,1
42,20230331,1
42,20230403,1
42,20230404,1
42,20230405,1
42,20230406,1
42,20230411,1
42,20230412,1
42,20230413,1
42,20230414,1
42,20230415,1
42,20230416,1
42,20230417,1
42,20230418,1
42,20230419,1
42,20230420,1
42,20230421,1
42,20230422,1
42,20230423,1
42,20230424,1
42,20230425,1
42,20230426,1
42,20230427,1
42,20230428,1
42,20230429,1
42,20230430,1
42,20230501,1
42,20230502,1
42,20230503,1
42,20230504,1
42,20230505,1
42,20230506,1
42,20230507,1
42,20230508,1
42,20230509,1
42,20230510,1
42,20230511,1
42,20230512,1
42,20230513,1
42,20230514,1
42,20230515,1
42,20230516,1
42,20230517,1
42,20230518,1
42,20230519,1
42,20230520,1
42,20230521,1
43,20230330,1
43,20230331,1
43,20230401,1
43,20230402,1
43,20230403,1
43,20230404,1
43,20230405,1
43,20230406,1
43,20230407,1
43,20230408,1
43,20230409,1
43,20230410,1
43,20230411,1
43,20230412,1
43,20230413,1
44,20230330,1
44,20230331,1
44,20230403,1
44,20230404,1
44,20230405,1
44,20230406,1
44,20230411,1
44,20230412,1
44,20230413,1
44,20230414,1
44,20230417,1
44,20230418,1
44,20230419,1
44,20230420,1
44,20230421,1
44,20230424,1
44,20230425,1
44,20230426,1
44,20230427,1
44,20230428,1
44,20230502,1
44,20230503,1
44,20230504,1
44,20230505,1
44,20230508,1
44,20230509,1
44,20230510,1
44,20230511,1
44,20230512,1
44,20230515,1
44,20230516,1
44,20230517,1
44,20230519,1
45,20230330,1
45,20230331,1
45,20230401,1
45,20230402,1
45,20230403,1
45,20230404,1
45,20230405,1
45,20230406,1
45,20230407,1
45,20230408,1
45,20230409,1
45,20230410,1
45,20230411,1
45,20230412,1
45,20230413,1
45,20230414,1
45,20230415,1
45,20230416,1
45,20230417,1
45,20230418,1
45,20230419,1
45,20230420,1
45,20230421,1
45,20230422,1
45,20230423,1
45,20230424,1
45,20230425,1
45,20230426,1
45,20230427,1
45,20230428,1
45,20230429,1
45,20230430,1
45,20230501,1
45,20230502,1
45,20230503,1
45,20230504,1
45,20230505,1
45,20230506,1
45,20230507,1
45,20230508,1
45,20230509,1
45,20230510,1
45,20230511,1
45,20230512,1
45,20230513,1
45,20230514,1
45,20230515,1
45,20230516,1
45,20230517,1
45,20230518,1
45,20230519,1
45,20230520,1
45,20230521,1
46,20230401,1
46,20230402,1
46,20230407,1
46,20230408,1
46,20230409,1
46,20230410,1
47,20230414,1
47,20230415,1
47,20230416,1
47,20230417,1
47,20230418,1
47,20230419,1
47,20230420,1
47,20230421,1
47,20230422,1
47,20230423,1
47,20230424,1
47,20230425,1
47,20230426,1
47,20230427,1
47,20230428,1
47,20230429,1
47,20230430,1
47,20230501,1
47,20230502,1
47,20230503,1
47,20230504,1
47,20230505,1
47,20230506,1
47,20230507,1
47,20230508,1
47,20230509,1
47,20230510,1
47,20230511,1
47,20230512,1
47,20230513,1
47,20230514,1
47,20230515,1
47,20230516,1
47,20230517,1
47,20230518,1
47,20230519,1
47,20230520,1
47,20230521,1
48,20230330,1
48,20230331,1
48,20230403,1
48,20230404,1
48,20230405,1
48,20230406,1
48,20230411,1
48,20230412,1
48,20230413,1
49,20230330,1
49,20230331,1
49,20230401,1
49,20230403,1
49,20230404,1
49,20230405,1
49,20230406,1
49,20230408,1
49,20230411,1
49,20230412,1
49,20230413,1
49,20230414,1
49,20230415,1
49,20230417,1
49,20230418,1
49,20230419,1
49,20230420,1
49,20230421,1
49,20230422,1
49,20230424,1
49,20230425,1
49,20230426,1
49,20230427,1
49,20230428,1
49,20230429,1
49,20230502,1
49,20230503,1
49,20230504,1
49,20230505,1
49,20230506,1
49,20230508,1
49,20230509,1
49,20230510,1
49,20230511,1
49,20230512,1
49,20230513,1
49,20230515,1
49,20230516,1
49,20230517,1
49,20230519,1
49,20230520,1
50,20230330,1
50,20230331,1
50,20230401,1
50,20230402,1
50,20230403,1
50,20230404,1
50,20230405,1
50,20230406,1
50,20230407,1
50,20230408,1
50,20230409,1
50,20230410,1
50,20230411,1
50,20230412,1
50,20230413,1
50,20230417,1
50,20230418,1
50,20230419,1
50,20230420,1
50,20230424,1
50,20230425,1
50,20230426,1
50,20230427,1
50,20230502,1
50,20230503,1
50,20230504,1
50,20230508,1
50,20230509,1
50,20230510,1
50,20230511,1
50,20230515,1
50,20230516,1
51,20230417,1
51,20230418,1
51,20230419,1
51,20230420,1
51,20230424,1
51,20230425,1
51,20230426,1
51,20230427,1
51,20230502,1
51,20230503,1
51,20230504,1
51,20230508,1
51,20230509,1
51,20230510,1
51,20230511,1
51,20230515,1
51,20230516,1
52,20230414,1
52,20230415,1
52,20230421,1
52,20230422,1
52,20230428,1
52,20230429,1
52,20230505,1
52,20230506,1
52,20230512,1
52,20230513,1
52,20230517,1
52,20230519,1
52,20230520,1
53,20230415,1
53,20230416,1
53,20230422,1
53,20230423,1
53,20230429,1
53,20230430,1
53,20230501,1
53,20230506,1
53,20230507,1
53,20230513,1
53,20230514,1
53,20230518,1
53,20230520,1
53,20230521,1
54,20230416,1
54,20230423,1
54,20230430,1
54,20230501,1
54,20230507,1
54,20230514,1
54,20230518,1
54,20230521,1
55,20230416,1
55,20230417,1
55,20230418,1
55,20230419,1
55,20230420,1
55,20230423,1
55,20230424,1
55,20230425,1
55,20230426,1
55,20230427,1
55,20230430,1
55,20230501,1
55,20230502,1
55,20230503,1
55,20230504,1
55,20230507,1
55,20230508,1
55,20230509,1
55,20230510,1
55,20230511,1
55,20230514,1
55,20230515,1
55,20230516,1
55,20230518,1
55,20230521,1
56,20230414,1
56,20230415,1
56,20230416,1
56,20230421,1
56,20230422,1
56,20230423,1
56,20230428,1
56,20230429,1
56,20230430,1
56,20230501,1
56,20230505,1
56,20230506,1
56,20230507,1
56,20230512,1
56,20230513,1
56,20230514,1
56,20230517,1
56,20230518,1
56,20230519,1
56,20230520,1
56,20230521,1
57,20230415,1
57,20230422,1
57,20230429,1
57,20230506,1
57,20230513,1
57,20230520,1
58,20230414,1
58,20230417,1
