stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001000101000,Stavsnäs,59.286405,18.704700,1,,
9021001000102000,Styrsvik,59.280184,18.731426,1,,
9021001000103000,Nämdöböte,59.208731,18.740060,1,,
9021001000104000,Aspö,59.215843,18.753410,1,,
9021001000105000,Idöborg,59.204309,18.757769,1,,
9021001000106000,Östanvik,59.197456,18.739825,1,,
9021001000107000,Kalkberget,59.191628,18.719581,1,,
9021001000108000,Västanvik,59.187559,18.706893,1,,
9021001000109000,Solvik,59.184758,18.700458,1,,
9021001000110000,Orrön,59.180510,18.700629,1,,
9021001000111000,Sand,59.182354,18.692684,1,,
9021001000112000,Bunkvik,59.177537,18.669835,1,,
9021001000113000,Ängsholmen,59.172723,18.655993,1,,
9021001000114000,Uvö,59.175039,18.648745,1,,
9021001000115000,Sunnansund,59.171029,18.639195,1,,
9021001000116000,Mörtö,59.162453,18.628936,1,,
9021001000117000,Mörtö södra,59.152702,18.616282,1,,
9021001000118000,Gatan,59.294298,18.756698,1,,
9021001000119000,Långvik,59.296235,18.771798,1,,
9021001000120000,Västra Skarprunmarn,59.305445,18.814167,1,,
9021001000121000,Hasselkobben,59.314634,18.832800,1,,
9021001000122000,Hasselö,59.316732,18.844855,1,,
9021001000123000,Mjölkkilen,59.302497,18.842859,1,,
9021001000124000,Idholmen,59.298957,18.856785,1,,
9021001000125000,Sandhamn,59.288430,18.915425,1,,
9021001000126000,Harö,59.339006,18.900275,1,,
9021001000127000,Hagede,59.346263,18.899313,1,,
9021001000128000,Koviksudde,59.363190,18.342123,1,,
9021001000129000,Norra Lagnö,59.355297,18.411543,1,,
9021001000130000,Bjurön,59.438969,18.439788,1,,
9021001000131000,Losten,59.454007,18.445501,1,,
9021001000132000,Storkrån,59.454815,18.455064,1,,
9021001000133000,Lilla Saxaren,59.452038,18.472345,1,,
9021001000134000,Stora Saxaren,59.450295,18.483093,1,,
9021001000135000,Bernhardsro,59.427455,18.419286,1,,
9021001000136000,Björknäs,59.427381,18.424517,1,,
9021001000137000,Skäggaudd,59.423780,18.424400,1,,
9021001000138000,Lilla Betsö,59.428674,18.433433,1,,
9021001000139000,Stora Isskär,59.427394,18.440059,1,,
9021001000141000,Halleberg,59.426158,18.460290,1,,
9021001000142000,Skärmaräng,59.420351,18.467756,1,,
9021001000143000,Vårholma,59.424485,18.471848,1,,
9021001000144000,Vårlunda,59.423547,18.483076,1,,
9021001000145000,Sippsö,59.422154,18.493851,1,,
9021001000146000,Lillsved,59.413138,18.496201,1,,
9021001000147000,Södra Grinda,59.407368,18.553045,1,,
9021001000148000,Norra Grinda,59.419060,18.558751,1,,
9021001000149000,Viggsö,59.408636,18.535194,1,,
9021001000150000,Norra Svartsö,59.458824,18.676794,1,,
9021001000151000,Karklö,59.416526,18.629169,1,,
9021001000152000,Trångholmen,59.428811,18.646964,1,,
9021001000153000,Alsvik,59.437840,18.657096,1,,
9021001000154000,Hjälmö,59.419622,18.677776,1,,
9021001000155000,Trädgårdarna,59.431498,18.675837,1,,
9021001000156000,Skälvik,59.443983,18.680635,1,,
9021001000157000,Karlshem,59.434268,18.689478,1,,
9021001000158000,Lådna,59.433793,18.702113,1,,
9021001000159000,Träskökvarn,59.442055,18.699840,1,,
9021001000160000,Gistholmen,59.451998,18.745808,1,,
9021001000161000,Söderboudd,59.455489,18.739767,1,,
9021001000162000,Hägerö,59.397753,18.617341,1,,
9021001000163000,Gällnö,59.390270,18.639452,1,,
9021001000164000,Galtholmen,59.384820,18.690388,1,,
9021001000165000,Gällnönäs,59.396564,18.705750,1,,
9021001000166000,Puttisholmen,59.376757,18.632489,1,,
9021001000167000,Ängsholmen,59.379829,18.650259,1,,
9021001000168000,Sollenkroka,59.373015,18.698721,1,,
9021001000169000,Sollenkrokaö,59.377920,18.707377,1,,
9021001000170000,Arbodaö,59.377496,18.729475,1,,
9021001000171000,Ytterö,59.382526,18.772086,1,,
9021001000172000,Träskö-Gåln,59.384572,18.773441,1,,
9021001000173000,Norra Stavsudda,59.404277,18.779955,1,,
9021001000174000,Södra Träskö,59.382838,18.790763,1,,
9021001000175000,Södra Stavsudda,59.388296,18.810423,1,,
9021001000176000,Korsö,59.381448,18.814041,1,,
9021001000177000,Granholmen,59.372897,18.877465,1,,
9021001000178000,Södermöja,59.403673,18.874321,1,,
9021001000179000,Möjaström,59.404028,18.874767,1,,
9021001000180000,Berg,59.406057,18.888453,1,,
9021001000181000,Löka,59.410374,18.895914,1,,
9021001000182000,Ramsmora,59.423873,18.909570,1,,
9021001000183000,Långvik,59.442372,18.920746,1,,
9021001000184000,Dragedet,59.443183,18.886435,1,,
9021001000185000,Stora Kalholmen,59.455165,18.822581,1,,
9021001000187000,Boda brygga,59.369986,18.605065,1,,
9021001000188000,Karsholm,59.394414,18.780935,1,,
9021001000193000,Söderholm,59.386984,18.807033,1,,
9021001000195000,Korsö,59.287001,18.946960,1,,
9021001000201000,Årsta brygga,59.082054,18.173464,1,,
9021001000202000,Gruvbryggan,58.970418,18.325113,1,,
9021001000203000,Näsudden,58.961706,18.293267,1,,
9021001000204000,Spränga,58.957605,18.294406,1,,
9021001000206000,Ängsö,59.194982,18.442482,1,,
9021001000207000,Gränö,59.191378,18.454645,1,,
9021001000208000,Kalvholmen,59.188880,18.452273,1,,
9021001000209000,Dalarö,59.129570,18.405221,1,,
9021001000210000,Jutholmen,59.125238,18.409336,1,,
9021001000211000,Aspö,59.117134,18.411589,1,,
9021001000212000,Segholmen,59.113649,18.412886,1,,
9021001000213000,Dalarö skans,59.113292,18.391527,1,,
9021001000214000,Fåglarö,59.103924,18.398848,1,,
9021001000215000,Hässelmara,59.089144,18.415409,1,,
